Date,Open,High,Low,Close,Volume,Currency,USD-BRL,USD-CLP,USD-EUR,Volume_USD-BRL,Volume_USD-CLP,Volume_USD-EUR
1/2/2019,101.6,102.65,99.35,99.5,22181,USD,3.789851,696.820523,0.883585,84062.68503,15456176.02,19598.79889
1/3/2019,99.5,103.25,99.45,102.15,21488,USD,3.756597,693.799154,0.87792,80721.75634,14908356.22,18864.74496
1/4/2019,102.3,103,100.4,101.6,16115,USD,3.715204,681.203912,0.877535,59870.51246,10977601.04,14141.47653
1/7/2019,101.5,103.45,101.15,102.75,15307,USD,3.735601,681.249605,0.871125,57180.84451,10427887.7,13334.31038
1/8/2019,102.9,106.05,102.35,105.05,32987,USD,3.713906,680.400592,0.872925,122510.6172,22444374.33,28795.17698
1/9/2019,105,106.85,104.35,105.3,21955,USD,3.681504,676.000056,0.865465,80827.42032,14841581.23,19001.28408
1/10/2019,105,106,103.35,104.25,23607,USD,3.711399,676.097294,0.869036,87614.99619,15960628.82,20515.33285
1/11/2019,104,104.8,102.5,103.85,24878,USD,3.711404,674.903912,0.871875,92332.30871,16790259.52,21690.50625
1/14/2019,103.4,103.55,101.55,102.75,16710,USD,3.698991,673.697044,0.871645,61810.13961,11257477.61,14565.18795
1/15/2019,102.25,102.9,100.4,101.3,20659,USD,3.717902,675.502153,0.876098,76808.13742,13955198.98,18099.30858
1/16/2019,100.9,103,100.65,102.4,21687,USD,3.735798,669.000507,0.87737,81018.25123,14508614,19027.52319
1/17/2019,102.4,103.5,101.75,102.4,17112,USD,3.750397,670.501473,0.877801,64176.79346,11473621.21,15020.93071
1/18/2019,102.85,106.2,102.6,104.95,27462,USD,3.75305,671.103912,0.879315,103066.2591,18429855.63,24147.74853
1/22/2019,104.9,105.75,102.8,103.35,19239,USD,3.81555,673.793437,0.880005,73407.36645,12963111.93,16930.4162
1/23/2019,102.9,104,102.3,103.4,16628,USD,3.765798,672.198015,0.878301,62617.68914,11177308.59,14604.38903
1/24/2019,103.7,106.1,103.05,105.3,22422,USD,3.77335,672.102177,0.884099,84606.0537,15069875.01,19823.26778
1/25/2019,106.1,107.15,105.2,106.8,26253,USD,3.771104,669.503912,0.877155,99002.79331,17576486.2,23027.95022
1/28/2019,105.65,105.8,101.55,102.65,31315,USD,3.761105,670.804661,0.875005,117779.0031,21006247.96,27400.78158
1/29/2019,103,103.3,102.15,102.6,16064,USD,3.719699,667.292332,0.874515,59753.24474,10719384.02,14048.20896
1/30/2019,102.65,103.35,101.95,102.1,12753,USD,3.68485,663.897023,0.870702,46992.89205,8466678.734,11104.06261
1/31/2019,102.3,106.35,102.3,105.9,31555,USD,3.644305,662.670012,0.873605,114996.0443,20910552.23,27566.60578
2/1/2019,106.15,107,103.55,103.7,27776,USD,3.659804,653.903912,0.872795,101654.7159,18162835.06,24242.75392
2/4/2019,103.8,106.35,103.25,105.6,28654,USD,3.6685,652.601156,0.874445,105117.199,18699633.52,25056.34703
2/5/2019,105.8,106.2,104.25,104.85,21214,USD,3.669798,651.490528,0.876465,77851.09477,13820720.06,18593.32851
2/6/2019,104.7,105.9,104.35,105.5,23725,USD,3.698198,654.777673,0.879845,87739.74755,15534600.29,20874.32263
2/7/2019,105.2,105.3,103.55,104.3,38973,USD,3.716397,658.601353,0.88196,144839.1403,25667670.53,34372.62708
2/8/2019,104.25,104.75,102.25,102.6,39198,USD,3.730104,658.103912,0.882185,146212.6166,25796357.14,34579.88763
2/11/2019,102.6,102.7,99.85,100.2,41306,USD,3.756697,661.903383,0.88663,155174.1263,27340581.14,36623.13878
