data,USDBRL,USDCLP,USDEUR
2019-02-01,3.659804,653.903912,0.872795
2019-02-02,3.659804,653.903912,0.872795
2019-02-03,3.658799,653.898173,0.872995
2019-02-04,3.6685,652.601156,0.874445
2019-02-05,3.669798,651.490528,0.876465
2019-02-06,3.698198,654.777673,0.879845
2019-02-07,3.716397,658.601353,0.88196
2019-02-08,3.730104,658.103912,0.882185
2019-02-09,3.729304,657.270396,0.882185
2019-02-10,3.730103,658.101494,0.88309
2019-02-11,3.756697,661.903383,0.88663
2019-02-12,3.709503,660.302645,0.882285
2019-02-13,3.754703,663.598309,0.88774
2019-02-14,3.723498,664.398401,0.88535
2019-02-15,3.700504,661.803912,0.88523
2019-02-16,3.700504,661.903912,0.88523
2019-02-17,3.700097,661.901398,0.88523
2019-02-18,3.733197,660.902758,0.884045
2019-02-19,3.7235,655.601767,0.881796
2019-02-20,3.725503,653.196482,0.881375
2019-02-21,3.768026,654.501978,0.881799
2019-02-22,3.748204,651.303912,0.881715
2019-02-23,3.748504,650.855041,0.881715
2019-02-24,3.747802,651.321313,0.881695
2019-02-25,3.751899,650.5971,0.879898
2019-02-26,3.748603,648.103082,0.877745
2019-02-27,3.728797,649.199511,0.878745
2019-02-28,3.750984,655.794813,0.879265
2019-03-01,3.776404,659.803912,0.878925
2019-03-02,3.774204,659.803912,0.878925
2019-03-03,3.77415,659.802706,0.879075
2019-03-04,3.775598,660.202571,0.882065
2019-03-05,3.775898,657.804156,0.88448
2019-03-06,3.84035,660.303308,0.88398
2019-03-07,3.870798,667.802416,0.89302
2019-03-08,3.869604,671.303912,0.88972
2019-03-09,3.869604,671.303912,0.88972
2019-03-10,3.86655,667.30501,0.89031
2019-03-11,3.838798,670.704511,0.88819
2019-03-12,3.813102,665.507555,0.885965
2019-03-13,3.814803,668.694974,0.882555
2019-03-14,3.841974,671.705262,0.884325
2019-03-15,3.814504,670.000361,0.881485
2019-03-16,3.814504,670.000361,0.881485
2019-03-17,3.814501,670.000306,0.88344
2019-03-18,3.791497,668.280158,0.882155
2019-03-19,3.789203,667.382409,0.880705
2019-03-20,3.7757,662.501488,0.87508
2019-03-21,3.792501,667.503814,0.879155
2019-03-22,3.907504,678.903912,0.883355
2019-03-23,3.905504,671.825041,0.883355
2019-03-24,3.907502,678.900738,0.885305
2019-03-25,3.8551,679.684946,0.88376
2019-03-26,3.876498,680.601894,0.88697
2019-03-27,3.99175,681.499774,0.88878
2019-03-28,3.901298,682.601415,0.890505
2019-03-29,3.923104,680.503912,0.89035
2019-03-30,3.923104,680.503912,0.89035
2019-03-31,3.92545,680.499211,0.89099
2019-04-01,3.85205,668.818945,0.892435
2019-04-02,3.853797,673.396279,0.892585
2019-04-03,3.869801,667.501071,0.889245
2019-04-04,3.857401,665.0977,0.890981
2019-04-05,3.875304,665.303912,0.89027
2019-04-06,3.875304,665.303912,0.89027
2019-04-07,3.8755,665.30529,0.891499
2019-04-08,3.849705,663.999773,0.88841
2019-04-09,3.849501,664.699323,0.887665
2019-04-10,3.8255,662.398196,0.88683
2019-04-11,3.857302,663.898058,0.88807
2019-04-12,3.881904,661.103912,0.88343
2019-04-13,3.875804,661.103912,0.88343
2019-04-14,3.880969,661.112855,0.88468
2019-04-15,3.8719,660.869527,0.884605
2019-04-16,3.905296,661.895025,0.886155
2019-04-17,3.938199,662.105048,0.885221
2019-04-18,3.928202,662.240014,0.890035
2019-04-19,3.936041,662.220396,0.889165
2019-04-20,3.936041,662.220396,0.889165
2019-04-21,3.936014,662.195036,0.889355
2019-04-22,3.935597,664.470236,0.88821
2019-04-23,3.9198,667.898411,0.89095
2019-04-24,3.991098,672.897423,0.89661
2019-04-25,3.954202,674.685009,0.897955
2019-04-26,3.929904,675.103912,0.89578
2019-04-27,3.925041,675.103912,0.89578
2019-04-28,3.930701,675.085012,0.89687
2019-04-29,3.945799,678.179965,0.89406
2019-04-30,3.918397,677.69765,0.891596
2019-05-01,3.920797,678.701907,0.892825
2019-05-02,3.967699,682.302517,0.895005
