Data,USD-BRL,USD-CLP,USD-EUR
2020-03-16,5.0005,853.301488,0.896024
2020-03-17,5.011201,848.300226,0.90789
2020-03-18,5.107612,868.000275,0.91234
2020-03-19,5.095701,862.303002,0.938435
2020-03-20,5.063904,863.303912,0.929152
2020-03-21,5.063904,863.303912,0.929066
2020-03-22,5.05425,863.303608,0.935159
2020-03-23,5.143198,860.70163,0.929015
2020-03-24,5.099601,845.404586,0.92574
2020-03-25,5.035197,846.847361,0.91835
2020-03-26,5.024098,829.403045,0.90516
2020-03-27,5.100504,830.603912,0.895504
2020-03-28,5.100504,830.603912,0.895375
2020-03-29,5.108225,831.297767,0.89781
2020-03-30,5.194203,859.701015,0.90665
2020-03-31,5.204986,856.697052,0.906935
2020-04-01,5.249706,865.897378,0.91299
2020-04-02,5.256797,862.9008,0.921945
2020-04-03,5.346768,865.503912,0.925555
2020-04-04,5.346768,865.503912,0.925498
2020-04-05,5.34983,865.698024,0.925375
2020-04-06,5.286805,850.601015,0.925799
2020-04-07,5.223199,859.430108,0.91789
2020-04-08,5.124975,844.603454,0.920705
2020-04-09,5.107301,842.298726,0.915265
2020-04-10,5.107041,840.540396,0.914369
2020-04-11,5.107041,840.540396,0.914453
2020-04-12,5.106968,840.482409,0.91474
2020-04-13,5.201445,850.200846,0.915701
2020-04-14,5.163503,849.557375,0.91035
2020-04-15,5.238496,857.130108,0.917027
2020-04-16,5.232403,852.701917,0.92099
2020-04-17,5.234204,853.303912,0.91954
2020-04-18,5.236922,853.303912,0.91954
2020-04-19,5.234199,853.30141,0.92026
2020-04-20,5.316904,857.700258,0.920425
2020-04-21,5.316505,858.797786,0.92117
2020-04-22,5.458402,858.799227,0.925303
2020-04-23,5.534596,860.398439,0.928096
2020-04-24,5.59345,857.403912,0.923788
2020-04-25,5.59345,857.403912,0.924039
2020-04-26,5.58185,857.999983,0.924102
2020-04-27,5.654102,857.60548,0.924034
2020-04-28,5.498898,844.697792,0.92298
2020-04-29,5.3363,834.599723,0.919385
2020-04-30,5.487498,835.097666,0.91366
2020-05-01,5.487304,834.703912,0.901429
2020-05-02,5.487404,834.703912,0.901348
2020-05-03,5.480996,834.703778,0.912475
2020-05-04,5.542098,838.198488,0.91712
2020-05-05,5.579596,835.202101,0.92266
2020-05-06,5.7167,843.102072,0.926085
2020-05-07,5.832411,838.501861,0.92278
2020-05-08,5.732404,825.803912,0.911536
2020-05-09,5.732304,825.803912,0.911536
2020-05-10,5.481003,825.79797,0.922585
2020-05-11,5.818599,823.999764,0.925155
2020-05-12,5.886297,825.000115,0.92197
2020-05-13,5.887898,817.295264,0.924103
2020-05-14,5.811012,822.298339,0.92536
2020-05-15,5.856671,827.703912,0.924078
2020-05-16,5.856671,827.703912,0.924078
2020-05-17,5.856701,827.685115,0.924298
2020-05-18,5.720502,819.500729,0.916196
2020-05-19,5.7567,819.302091,0.915303
2020-05-20,5.691973,803.906901,0.9107
2020-05-21,5.553897,804.695805,0.913201
2020-05-22,5.530204,808.503912,0.917389
2020-05-23,5.530204,808.503912,0.917011
2020-05-24,5.530203,808.601015,0.916784
2020-05-25,5.444902,805.066847,0.917305
2020-05-26,5.345498,807.187415,0.910802
2020-05-27,5.274302,820.404675,0.90773
2020-05-28,5.405096,808.598106,0.90263
2020-05-29,5.334904,799.000361,0.900495
2020-05-30,5.334904,799.000361,0.900495
2020-05-31,5.336299,799.000266,0.899502
2020-06-01,5.368,792.81272,0.89883
2020-06-02,5.200795,777.302334,0.89385
2020-06-03,5.0631,785.705338,0.890099
2020-06-04,5.118701,770.898739,0.882101
2020-06-05,4.965428,766.625041,0.885665
2020-06-06,4.965428,766.625041,0.885622
2020-06-07,4.960992,766.799549,0.883455
2020-06-08,4.823096,767.612991,0.884545
2020-06-09,4.8999,769.897055,0.882465
2020-06-10,4.9737,773.49855,0.879885
2020-06-11,4.976501,792.8029,0.885915
2020-06-12,5.049304,792.203912,0.888324
2020-06-13,5.049304,792.203912,0.888462
2020-06-14,5.0493,792.206428,0.888765
2020-06-15,5.156124,783.301816,0.882035
2020-06-16,5.245104,784.29757,0.88768
2020-06-17,5.2294,801.597997,0.88948
2020-06-18,5.378696,817.499526,0.8921
2020-06-19,5.31147,817.303912,0.894494
2020-06-20,5.31147,817.303912,0.894666
2020-06-21,5.311504,817.300322,0.89468
2020-06-22,5.253397,819.703622,0.88658
2020-06-23,5.152601,819.198148,0.884015
2020-06-24,5.348097,819.099946,0.88885
2020-06-25,5.360997,809.093302,0.891197
2020-06-26,5.479041,821.503912,0.891381
2020-06-27,5.479041,821.503912,0.891421
2020-06-28,5.482403,821.505488,0.890899
2020-06-29,5.403602,821.497406,0.88914
2020-06-30,5.463201,822.802664,0.890098
2020-07-01,5.317702,808.615336,0.88881
2020-07-02,5.360396,801.101052,0.88988
2020-07-03,5.312917,802.503912,0.889104
2020-07-04,5.312917,802.503912,0.889284
2020-07-05,5.312898,802.499323,0.88914
2020-07-06,5.355803,799.402424,0.883975
2020-07-07,5.379299,789.504341,0.886931
2020-07-08,5.3441,786.901613,0.881987
2020-07-09,5.339301,788.597835,0.885925
2020-07-10,5.328354,792.403912,0.885348
2020-07-11,5.338468,792.403912,0.885348
2020-07-12,5.328397,792.396767,0.884195
2020-07-13,5.402981,789.699785,0.881415
2020-07-14,5.368301,786.502594,0.876395
2020-07-15,5.370175,782.198398,0.875875
2020-07-16,5.332202,789.407104,0.877899
2020-07-17,5.38681,787.803912,0.875048
2020-07-18,5.38681,787.803912,0.874929
2020-07-19,5.386797,787.898609,0.873945
2020-07-20,5.3292,786.197294,0.872799
2020-07-21,5.171297,771.603984,0.867025
2020-07-22,5.119601,767.897463,0.864494
2020-07-23,5.212099,770.400028,0.862385
2020-07-24,5.23055,774.203912,0.857924
2020-07-25,5.23055,774.203912,0.857924
2020-07-26,5.230602,774.196424,0.858215
2020-07-27,5.144821,768.410149,0.849695
2020-07-28,5.153804,766.301649,0.853355
2020-07-29,5.170303,757.393234,0.848715
2020-07-30,5.155399,761.502537,0.842325
2020-07-31,5.22265,756.703912,0.848983
2020-08-01,5.22265,756.703912,0.848896
2020-08-02,5.2227,756.716238,0.84876
2020-08-03,5.320195,757.702189,0.850201
2020-08-04,5.291698,771.705864,0.846375
2020-08-05,5.2924,777.399416,0.842285
2020-08-06,5.332796,773.498491,0.842101
2020-08-07,5.437325,788.803912,0.848526
2020-08-08,5.438274,788.803912,0.848259
2020-08-09,5.438703,788.805789,0.848799
2020-08-10,5.48202,805.99994,0.851975
2020-08-11,5.381894,794.486017,0.852065
2020-08-12,5.436501,792.300796,0.847907
2020-08-13,5.368502,793.502706,0.846295
2020-08-14,5.422278,797.603912,0.84442
2020-08-15,5.422278,797.603912,0.844423
2020-08-16,5.422304,797.608989,0.843803
2020-08-17,5.509801,807.703552,0.842098
2020-08-18,5.466903,794.703759,0.836995
2020-08-19,5.557905,784.385792,0.844352
2020-08-20,5.557397,786.398139,0.84235
2020-08-21,5.620075,793.103912,0.847781
2020-08-22,5.620075,793.103912,0.847817
2020-08-23,5.620102,793.10348,0.847625
2020-08-24,5.612099,785.999807,0.847875
2020-08-25,5.508895,787.099323,0.844975
2020-08-26,5.608703,784.585792,0.8445
2020-08-27,5.570198,784.399135,0.846075
2020-08-28,5.39145,779.503912,0.83998
2020-08-29,5.39145,779.503912,0.839877
2020-08-30,5.391504,779.499124,0.83908
2020-08-31,5.492397,776.341137,0.837615
2020-09-01,5.398801,771.309376,0.838725
2020-09-02,5.3406,771.403799,0.844095
2020-09-03,5.2914,775.803924,0.844635
2020-09-04,5.302504,771.503912,0.844691
2020-09-05,5.302504,771.503912,0.844691
2020-09-06,5.302497,771.501041,0.845025
2020-09-07,5.299801,775.200971,0.845994
2020-09-08,5.362098,773.000168,0.849701
2020-09-09,5.31038,766.602768,0.847105
2020-09-10,5.32206,773.099001,0.845735
2020-09-11,5.317704,769.903912,0.84406
2020-09-12,5.317704,769.903912,0.84406
2020-09-13,5.317698,769.903473,0.844499
2020-09-14,5.2698,765.306597,0.842567
2020-09-15,5.275806,763.292693,0.844305
2020-09-16,5.237498,760.298283,0.847235
2020-09-17,5.239302,761.198972,0.844035
2020-09-18,5.391304,763.303912,0.84457
2020-09-19,5.391304,763.303912,0.844616
2020-09-20,5.3913,763.295489,0.84423
2020-09-21,5.414101,774.498985,0.84987
2020-09-22,5.471398,777.237889,0.854115
2020-09-23,5.593904,783.29766,0.857765
2020-09-24,5.509905,783.297632,0.856685
2020-09-25,5.56135,788.103912,0.85978
2020-09-26,5.56135,788.103912,0.859734
2020-09-27,5.562597,788.098602,0.85948
2020-09-28,5.6617,784.59797,0.85627
2020-09-29,5.63205,784.600812,0.851665
2020-09-30,5.609901,785.097209,0.852899
2020-10-01,5.643498,787.098074,0.851455
2020-10-02,5.683104,789.603912,0.853479
2020-10-03,5.683104,789.603912,0.853457
2020-10-04,5.683103,789.584889,0.853245
2020-10-05,5.57495,798.706766,0.848098
2020-10-06,5.595303,798.708288,0.851985
2020-10-07,5.612795,794.598196,0.849717
2020-10-08,5.600101,798.59516,0.849943
2020-10-09,5.530502,794.703912,0.845359
2020-10-10,5.530502,794.703912,0.845248
2020-10-11,5.530498,794.701579,0.846285
2020-10-12,5.531199,796.999694,0.846399
2020-10-13,5.569895,798.902763,0.851655
2020-10-14,5.59199,798.806766,0.851525
2020-10-15,5.612699,804.102075,0.854205
2020-10-16,5.648385,793.503912,0.853607
2020-10-17,5.648385,793.503912,0.853607
2020-10-18,5.646299,793.502849,0.853595
2020-10-19,5.607097,787.603528,0.849803
2020-10-20,5.605698,785.999645,0.845345
2020-10-21,5.609303,783.000011,0.843703
2020-10-22,5.5928,778.793621,0.846405
2020-10-23,5.619251,775.703912,0.843149
2020-10-24,5.619251,775.703912,0.842993
2020-10-25,5.619251,775.701015,0.844131
2020-10-26,5.624098,775.30203,0.8467
2020-10-27,5.7062,772.999656,0.848745
2020-10-28,5.746398,773.599271,0.851165
2020-10-29,5.779302,772.000137,0.856396
2020-10-30,5.742904,773.303912,0.856504
2020-10-31,5.742904,773.303912,0.856348
2020-11-01,5.742895,773.302706,0.858995
2020-11-02,5.742599,767.701691,0.858965
2020-11-03,5.757197,759.498055,0.850702
2020-11-04,5.664503,754.202544,0.852315
2020-11-05,5.524896,756.101234,0.846375
2020-11-06,5.364804,751.503912,0.842169
2020-11-07,5.364804,751.503912,0.842151
2020-11-08,5.364803,751.504871,0.84086
2020-11-09,5.3855,757.604905,0.845804
2020-11-10,5.415405,754.59611,0.846225
2020-11-11,5.391501,754.696673,0.84886
2020-11-12,5.458198,761.0841,0.847192
2020-11-13,5.458504,767.103912,0.844923
2020-11-14,5.458504,767.103912,0.844923
2020-11-15,5.458503,767.106766,0.844199
2020-11-16,5.416402,766.498728,0.843235
2020-11-17,5.328699,763.204788,0.842935
2020-11-18,5.363199,758.301579,0.844075
2020-11-19,5.305979,759.198816,0.842735
2020-11-20,5.380104,764.203912,0.843409
2020-11-21,5.380104,764.203912,0.843409
2020-11-22,5.3801,764.200559,0.842745
2020-11-23,5.442103,773.901353,0.844506
2020-11-24,5.374101,773.80093,0.840404
2020-11-25,5.324094,764.797352,0.839032
2020-11-26,5.336802,766.279251,0.839313
2020-11-27,5.344104,768.703912,0.835911
2020-11-28,5.344104,768.703912,0.835858
2020-11-29,5.344103,768.696125,0.835349
2020-11-30,5.332603,761.898478,0.837675
2020-12-01,5.206401,759.999479,0.828303
2020-12-02,5.217804,756.000152,0.825475
2020-12-03,5.152498,750.642625,0.823365
2020-12-04,5.156839,743.903912,0.825048
2020-12-05,5.156839,743.903912,0.824875
2020-12-06,5.156839,743.897632,0.825015
2020-12-07,5.0998,745.203818,0.825575
2020-12-08,5.121198,744.895989,0.825802
2020-12-09,5.171197,743.198647,0.827994
2020-12-10,5.025697,734.803315,0.823472
2020-12-11,5.066204,734.303912,0.825655
2020-12-12,5.066204,734.303912,0.825655
2020-12-13,5.0662,734.298389,0.824195
2020-12-14,5.1192,735.395747,0.82314
2020-12-15,5.082176,736.179026,0.822774
2020-12-16,5.084701,734.190528,0.819795
2020-12-17,5.058403,721.89797,0.815505
2020-12-18,5.102604,725.303912,0.815874
2020-12-19,5.102604,725.303912,0.815827
2020-12-20,5.102598,725.314885,0.818615
2020-12-21,5.122206,725.598342,0.817299
2020-12-22,5.159938,722.711164,0.820595
2020-12-23,5.216797,714.100451,0.820275
2020-12-24,5.216802,714.798376,0.820804
2020-12-25,5.216804,714.803912,0.820204
2020-12-26,5.216804,714.803912,0.8141
2020-12-27,5.216796,714.802876,0.819365
2020-12-28,5.247401,711.999749,0.818201
2020-12-29,5.210097,715.396702,0.816155
2020-12-30,5.194091,711.501443,0.813025
2020-12-31,5.193597,710.502481,0.821102
2021-01-01,5.193404,710.503912,0.821304
2021-01-02,5.193404,710.503912,0.824063
2021-01-03,5.1934,710.499696,0.816315
2021-01-04,5.296798,704.303175,0.816245
2021-01-05,5.285597,695.901138,0.813015
2021-01-06,5.314399,696.492944,0.810403
