Data,USD-BRL,USD-CLP,USD-EUR
3/16/2020,5.0005,853.301488,0.896024
3/17/2020,5.011201,848.300226,0.90789
3/18/2020,5.107612,868.000275,0.91234
3/19/2020,5.095701,862.303002,0.938435
3/20/2020,5.063904,863.303912,0.929152
3/21/2020,5.063904,863.303912,0.929066
3/22/2020,5.05425,863.303608,0.935159
3/23/2020,5.143198,860.70163,0.929015
3/24/2020,5.099601,845.404586,0.92574
3/25/2020,5.035197,846.847361,0.91835
3/26/2020,5.024098,829.403045,0.90516
3/27/2020,5.100504,830.603912,0.895504
3/28/2020,5.100504,830.603912,0.895375
3/29/2020,5.108225,831.297767,0.89781
3/30/2020,5.194203,859.701015,0.90665
3/31/2020,5.204986,856.697052,0.906935
4/1/2020,5.249706,865.897378,0.91299
4/2/2020,5.256797,862.9008,0.921945
4/3/2020,5.346768,865.503912,0.925555
4/4/2020,5.346768,865.503912,0.925498
4/5/2020,5.34983,865.698024,0.925375
4/6/2020,5.286805,850.601015,0.925799
4/7/2020,5.223199,859.430108,0.91789
4/8/2020,5.124975,844.603454,0.920705
4/9/2020,5.107301,842.298726,0.915265
4/10/2020,5.107041,840.540396,0.914369
4/11/2020,5.107041,840.540396,0.914453
4/12/2020,5.106968,840.482409,0.91474
4/13/2020,5.201445,850.200846,0.915701
4/14/2020,5.163503,849.557375,0.91035
4/15/2020,5.238496,857.130108,0.917027
4/16/2020,5.232403,852.701917,0.92099
4/17/2020,5.234204,853.303912,0.91954
4/18/2020,5.236922,853.303912,0.91954
4/19/2020,5.234199,853.30141,0.92026
4/20/2020,5.316904,857.700258,0.920425
4/21/2020,5.316505,858.797786,0.92117
4/22/2020,5.458402,858.799227,0.925303
4/23/2020,5.534596,860.398439,0.928096
4/24/2020,5.59345,857.403912,0.923788
4/25/2020,5.59345,857.403912,0.924039
4/26/2020,5.58185,857.999983,0.924102
4/27/2020,5.654102,857.60548,0.924034
4/28/2020,5.498898,844.697792,0.92298
4/29/2020,5.3363,834.599723,0.919385
4/30/2020,5.487498,835.097666,0.91366
5/1/2020,5.487304,834.703912,0.901429
5/2/2020,5.487404,834.703912,0.901348
5/3/2020,5.480996,834.703778,0.912475
5/4/2020,5.542098,838.198488,0.91712
5/5/2020,5.579596,835.202101,0.92266
5/6/2020,5.7167,843.102072,0.926085
5/7/2020,5.832411,838.501861,0.92278
5/8/2020,5.732404,825.803912,0.911536
5/9/2020,5.732304,825.803912,0.911536
5/10/2020,5.481003,825.79797,0.922585
5/11/2020,5.818599,823.999764,0.925155
5/12/2020,5.886297,825.000115,0.92197
5/13/2020,5.887898,817.295264,0.924103
5/14/2020,5.811012,822.298339,0.92536
5/15/2020,5.856671,827.703912,0.924078
5/16/2020,5.856671,827.703912,0.924078
5/17/2020,5.856701,827.685115,0.924298
5/18/2020,5.720502,819.500729,0.916196
5/19/2020,5.7567,819.302091,0.915303
5/20/2020,5.691973,803.906901,0.9107
5/21/2020,5.553897,804.695805,0.913201
5/22/2020,5.530204,808.503912,0.917389
5/23/2020,5.530204,808.503912,0.917011
5/24/2020,5.530203,808.601015,0.916784
5/25/2020,5.444902,805.066847,0.917305
5/26/2020,5.345498,807.187415,0.910802
5/27/2020,5.274302,820.404675,0.90773
5/28/2020,5.405096,808.598106,0.90263
5/29/2020,5.334904,799.000361,0.900495
5/30/2020,5.334904,799.000361,0.900495
5/31/2020,5.336299,799.000266,0.899502
6/1/2020,5.368,792.81272,0.89883
6/2/2020,5.200795,777.302334,0.89385
6/3/2020,5.0631,785.705338,0.890099
6/4/2020,5.118701,770.898739,0.882101
6/5/2020,4.965428,766.625041,0.885665
6/6/2020,4.965428,766.625041,0.885622
6/7/2020,4.960992,766.799549,0.883455
6/8/2020,4.823096,767.612991,0.884545
6/9/2020,4.8999,769.897055,0.882465
6/10/2020,4.9737,773.49855,0.879885
6/11/2020,4.976501,792.8029,0.885915
6/12/2020,5.049304,792.203912,0.888324
6/13/2020,5.049304,792.203912,0.888462
6/14/2020,5.0493,792.206428,0.888765
6/15/2020,5.156124,783.301816,0.882035
6/16/2020,5.245104,784.29757,0.88768
6/17/2020,5.2294,801.597997,0.88948
6/18/2020,5.378696,817.499526,0.8921
6/19/2020,5.31147,817.303912,0.894494
6/20/2020,5.31147,817.303912,0.894666
6/21/2020,5.311504,817.300322,0.89468
6/22/2020,5.253397,819.703622,0.88658
6/23/2020,5.152601,819.198148,0.884015
6/24/2020,5.348097,819.099946,0.88885
6/25/2020,5.360997,809.093302,0.891197
6/26/2020,5.479041,821.503912,0.891381
6/27/2020,5.479041,821.503912,0.891421
6/28/2020,5.482403,821.505488,0.890899
6/29/2020,5.403602,821.497406,0.88914
6/30/2020,5.463201,822.802664,0.890098
7/1/2020,5.317702,808.615336,0.88881
7/2/2020,5.360396,801.101052,0.88988
7/3/2020,5.312917,802.503912,0.889104
7/4/2020,5.312917,802.503912,0.889284
7/5/2020,5.312898,802.499323,0.88914
7/6/2020,5.355803,799.402424,0.883975
7/7/2020,5.379299,789.504341,0.886931
7/8/2020,5.3441,786.901613,0.881987
7/9/2020,5.339301,788.597835,0.885925
7/10/2020,5.328354,792.403912,0.885348
7/11/2020,5.338468,792.403912,0.885348
7/12/2020,5.328397,792.396767,0.884195
7/13/2020,5.402981,789.699785,0.881415
7/14/2020,5.368301,786.502594,0.876395
7/15/2020,5.370175,782.198398,0.875875
7/16/2020,5.332202,789.407104,0.877899
7/17/2020,5.38681,787.803912,0.875048
7/18/2020,5.38681,787.803912,0.874929
7/19/2020,5.386797,787.898609,0.873945
7/20/2020,5.3292,786.197294,0.872799
7/21/2020,5.171297,771.603984,0.867025
7/22/2020,5.119601,767.897463,0.864494
7/23/2020,5.212099,770.400028,0.862385
7/24/2020,5.23055,774.203912,0.857924
7/25/2020,5.23055,774.203912,0.857924
7/26/2020,5.230602,774.196424,0.858215
7/27/2020,5.144821,768.410149,0.849695
7/28/2020,5.153804,766.301649,0.853355
7/29/2020,5.170303,757.393234,0.848715
7/30/2020,5.155399,761.502537,0.842325
7/31/2020,5.22265,756.703912,0.848983
8/1/2020,5.22265,756.703912,0.848896
8/2/2020,5.2227,756.716238,0.84876
8/3/2020,5.320195,757.702189,0.850201
8/4/2020,5.291698,771.705864,0.846375
8/5/2020,5.2924,777.399416,0.842285
8/6/2020,5.332796,773.498491,0.842101
8/7/2020,5.437325,788.803912,0.848526
8/8/2020,5.438274,788.803912,0.848259
8/9/2020,5.438703,788.805789,0.848799
8/10/2020,5.48202,805.99994,0.851975
8/11/2020,5.381894,794.486017,0.852065
